work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_type
2024,SE,FT,AI Engineer,202730,US,0,US,M,IN-PERSON
2024,SE,FT,AI Engineer,92118,US,0,US,M,IN-PERSON
2024,SE,FT,Data Engineer,130500,US,0,US,M,IN-PERSON
2024,SE,FT,Data Engineer,96000,US,0,US,M,IN-PERSON
2024,SE,FT,Machine Learning Engineer,190000,US,0,US,M,IN-PERSON
2024,SE,FT,Machine Learning Engineer,160000,US,0,US,M,IN-PERSON
2024,MI,FT,ML Engineer,65000,US,0,US,M,IN-PERSON
2024,EN,FT,Data Analyst,101520,US,0,US,M,IN-PERSON
2024,EN,FT,Data Analyst,45864,US,0,US,M,IN-PERSON
2024,SE,FT,Data Engineer,172469,US,0,US,M,IN-PERSON
2024,SE,FT,Data Engineer,114945,US,0,US,M,IN-PERSON
2024,EX,FT,NLP Engineer,200000,US,0,US,M,IN-PERSON
2024,EX,FT,NLP Engineer,150000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Scientist,156450,US,100,US,M,REMOTE
2024,MI,FT,Data Scientist,119200,US,100,US,M,REMOTE
2024,SE,FT,Data Analyst,170000,US,0,US,M,IN-PERSON
2024,SE,FT,Data Analyst,130000,US,0,US,M,IN-PERSON
2024,SE,FT,Applied Scientist,222200,US,0,US,L,IN-PERSON
2024,SE,FT,Applied Scientist,136000,US,0,US,L,IN-PERSON
2024,MI,FT,Data Manager,128000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Manager,81500,US,0,US,M,IN-PERSON
2024,SE,FT,Data Architect,93838,US,0,US,M,IN-PERSON
2024,SE,FT,Data Architect,69535,US,0,US,M,IN-PERSON
2024,EN,FT,Data Analyst,75000,US,0,US,M,IN-PERSON
2024,EN,FT,Data Analyst,65000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Operations Manager,150000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Operations Manager,125000,US,0,US,M,IN-PERSON
2024,MI,FT,Research Scientist,260570,US,0,US,M,IN-PERSON
2024,MI,FT,Research Scientist,167030,US,0,US,M,IN-PERSON
2024,EN,FT,Data Engineer,120000,US,0,US,M,IN-PERSON
2024,EN,FT,Data Engineer,100000,US,0,US,M,IN-PERSON
2024,SE,FT,Data Engineer,190000,US,100,US,M,REMOTE
2024,SE,FT,Data Engineer,155000,US,100,US,M,REMOTE
2024,SE,FT,Data Analyst,174000,US,100,US,M,REMOTE
2024,SE,FT,Data Analyst,116000,US,100,US,M,REMOTE
2024,MI,FT,Data Analyst,100000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Analyst,80000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Analyst,145000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Analyst,95000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Scientist,120000,AU,0,AU,S,IN-PERSON
2024,MI,FT,Data Scientist,70000,AU,0,AU,S,IN-PERSON
2024,MI,CT,Data Scientist,130000,US,0,US,M,IN-PERSON
2024,MI,CT,Data Scientist,110000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Science Manager,240000,US,0,US,M,IN-PERSON
2024,MI,FT,Data Science Manager,180000,US,0,US,M,IN-PERSON
2024,SE,FT,Business Intelligence Engineer,202800,US,0,US,M,IN-PERSON
2024,SE,FT,Business Intelligence Engineer,115000,US,0,US,M,IN-PERSON
2024,SE,FT,Data Architect,100000,GB,0,GB,M,IN-PERSON
2024,SE,FT,Data Architect,56250,GB,0,GB,M,IN-PERSON
2024,SE,FT,Data Analyst,69230,CA,0,CA,M,IN-PERSON
2024,SE,FT,Data Analyst,57692,CA,0,CA,M,IN-PERSON
2024,MI,FT,Data Analyst,112300,US,0,US,M,IN-PERSON
2024,MI,FT,Data Analyst,75100,US,0,US,M,IN-PERSON
2024,MI,FT,Business Intelligence,178200,US,0,US,M,IN-PERSON
2024,MI,FT,Business Intelligence,87000,US,0,US,M,IN-PERSON
2024,SE,FT,Data Scientist,138000,CA,0,CA,M,IN-PERSON
2024,SE,FT,Data Scientist,72000,CA,0,CA,M,IN-PERSON
2024,MI,FT,ML Engineer,252000,US,0,US,M,IN-PERSON
2024,MI,FT,ML Engineer,168000,US,0,US,M,IN-PERSON
2024,SE,FT,Data Modeler,140000,US,100,US,M,REMOTE
2024,SE,FT,Data Modeler,130000,US,100,US,M,REMOTE
2024,SE,FT,Machine Learning Engineer,190000,US,0,US,M,IN-PERSON
2024,SE,FT,Machine Learning Engineer,100000,US,0,US,M,IN-PERSON
